EARN06: Average (mean) gross weekly earnings of full-time employees by occupation: People (not seasonally adjusted),,,,,,,,,,,
Date of publication:,15 August 2023,,,,,,,Date of next publication:,14 November 2023,,
Inquiries: Email: ,labour.supply@ons.gov.uk ,,,,,,,Telephone:,,+44 1633 455400,
,United Kingdom (£ per week) not seasonally adjusted,,,,,,,,,,
,Standard Occupational Classification (SOC) 2010,,,,,,,,,,
,All full-time employees 1,"Managers, directors & senior officials",Professional occupations,Associate professional & technical,Administrative & secretarial ,Skilled trades,"Caring, leisure & other services",Sales & customer services,"Process, plant & machine operatives",Elementary occupations,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Jan-Mar 1995,..,..,..,..,..,..,..,..,..,..,
Apr-Jun 1995,..,..,..,..,..,..,..,..,..,..,
Jul-Sep 1995,..,..,..,..,..,..,..,..,..,..,
Oct-Dec 1995,..,..,..,..,..,..,..,..,..,..,
Jan-Mar 1996,..,..,..,..,..,..,..,..,..,..,
Apr-Jun 1996,..,..,..,..,..,..,..,..,..,..,
Jul-Sep 1996,..,..,..,..,..,..,..,..,..,..,
Oct-Dec 1996,..,..,..,..,..,..,..,..,..,..,
Jan-Mar 1997,..,..,..,..,..,..,..,..,..,..,
Apr-Jun 1997,..,..,..,..,..,..,..,..,..,..,
Jul-Sep 1997,..,..,..,..,..,..,..,..,..,..,
Oct-Dec 1997,..,..,..,..,..,..,..,..,..,..,
Jan-Mar 1998,..,..,..,..,..,..,..,..,..,..,
Apr-Jun 1998,..,..,..,..,..,..,..,..,..,..,
Jul-Sep 1998,..,..,..,..,..,..,..,..,..,..,
Oct-Dec 1998,..,..,..,..,..,..,..,..,..,..,
Jan-Mar 1999,..,..,..,..,..,..,..,..,..,..,
Apr-Jun 1999,..,..,..,..,..,..,..,..,..,..,
Jul-Sep 1999,..,..,..,..,..,..,..,..,..,..,
Oct-Dec 1999,..,..,..,..,..,..,..,..,..,..,
Jan-Mar 2000,..,..,..,..,..,..,..,..,..,..,
Apr-Jun 2000,..,..,..,..,..,..,..,..,..,..,
Jul-Sep 2000,..,..,..,..,..,..,..,..,..,..,
Oct-Dec 2000,..,..,..,..,..,..,..,..,..,..,
Jan-Mar 2001,..,..,..,..,..,..,..,..,..,..,
Apr-Jun 2001,..,..,..,..,..,..,..,..,..,..,
Jul-Sep 2001,..,..,..,..,..,..,..,..,..,..,
Oct-Dec 2001,..,..,..,..,..,..,..,..,..,..,
Jan-Mar 2002,..,..,..,..,..,..,..,..,..,..,
Apr-Jun 2002,..,..,..,..,..,..,..,..,..,..,
Jul-Sep 2002,..,..,..,..,..,..,..,..,..,..,
Oct-Dec 2002,..,..,..,..,..,..,..,..,..,..,
Jan-Mar 2003,..,..,..,..,..,..,..,..,..,..,
Apr-Jun 2003,..,..,..,..,..,..,..,..,..,..,
Jul-Sep 2003,..,..,..,..,..,..,..,..,..,..,
Oct-Dec 2003,..,..,..,..,..,..,..,..,..,..,
Jan-Mar 2004,..,..,..,..,..,..,..,..,..,..,
Apr-Jun 2004,..,..,..,..,..,..,..,..,..,..,
Jul-Sep 2004,..,..,..,..,..,..,..,..,..,..,
Oct-Dec 2004,..,..,..,..,..,..,..,..,..,..,
Jan-Mar 2005,..,..,..,..,..,..,..,..,..,..,
Apr-Jun 2005,..,..,..,..,..,..,..,..,..,..,
Jul-Sep 2005,..,..,..,..,..,..,..,..,..,..,
